rank,match,davit,luis,affinity,viewing,viewing_date,davit_verdict,davit_score,luis_verdict,luis_score,address,area,price,m2,price_per_m2,rooms,bedrooms,floor,build_year,energy_label,ownership,leasehold_until,vve_monthly,outdoor,status,summary,url,last_vote
33,,no,yes,63,,,,,,,"Admiraal De Ruijterweg 407 2, 1055 MD Amsterdam",1055MD,599000,73,8205,3,2,2nd floor,1925,D,leasehold (erfpacht),,205,Balcony 8 m²,available,"Leasehold (canon not yet checked), 73 m² apartment building from 1925 on the 2nd floor: 2 bedrooms, balcony 8 m², energy label D, VvE €205/month, €8.205/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3OTY5NXw1NzllNjRhNTM5NzM0ZWE2ODE1YzE4NTA3OTYyYWE2NzcwOTYxMzg0NmMwNWE4YjA3MDU2ZmIwYmE0NTgxODUyOTRkMDg2NDZjODZhNjRkNDU0NTNhMTkxM2E0MjlhZDY4YmE4YjFjNzVlZDY3MWRmMTNjZTI5NmRmMmY5MmIyNXw5MDc1NDk/overzicht,2026-09-11 06:03
34,,no,yes,63,requested,,,,,,"Zeeburgerpad 46 C, 1019 AB Amsterdam",1019AB,650000,83,7831,3,2,1st floor,2026,A+++,,,,Balcony 15 m²,available,"83 m² intermediate floor from 2026 on the 1st floor: 2 bedrooms, balcony 15 m², energy label A+++, €7.831/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NDgzMnwyYWIzYmMyM2RlMTI5YWMyZTk1MmFiMTU3YTEzYzRmZjMxYTMwZGUxY2U0ODYzYjQ3NzEyNTliNzI4NGVhMThmZDhkMzYzNzBmODQzMWRjZjk5YTNhODNiZDRiZWFmYzZmNzliZTJiYmIyMWY1MjdmZTkxODk0MWRjZDI5MDg3NHw5MDc1NDk/overzicht,2026-09-11 18:15
35,,yes,no,62,,,,,,,"Willem de Zwijgerlaan 145 3, 1056 JL Amsterdam",1056JL,890000,111,8018,4,3,3rd floor,1934,C,leasehold (erfpacht),,169,Balcony 17 m²,available,"Leasehold (canon not yet checked), 111 m² maisonnette from 1934 on the 3rd floor: 3 bedrooms, balcony 17 m², energy label C, VvE €169/month, €8.018/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3NzMyNnw3MzE3ZGE5ZDMyZTA1NmIwMmUyMzg2MzhmMDFiNzBhYWY0ODZiMjFiY2MzYzQxM2IwZDQyZDI2MjcwOTZiNjA3Nzc5NTIyZDBiNWMxMTQxYjM2NjBjODQwNzNmZjQyYTA0YWUzMTNlOGU2MDViZWExNDI2ZDliMzhiZjI1NzBjMnw5MDc1NDk/overzicht,2026-09-06 19:51
36,,no,yes,61,,,,,,,"Fannius Scholtenstraat 66 1, 1051 GA Amsterdam",1051GA,525000,66,7955,3,2,1st floor,1900,A,freehold (eigen grond),,94,None,available,"Freehold 66 m² upstairs flat from 1900 on the 1st floor: 2 bedrooms, no outdoor space, energy label A, VvE €94/month, €7.955/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NjQ0OHw2NjQ4YTkyMzU5ZTIwYzIzOTk0MTUzNDBlOGE5OTYwNTA5MzQ5MTZkNDQ4MDFmY2Y3YWJiZDIzNDlhYjkyNTA1OTUxOTg0MThkNDY1YzRiMWM4MzVhNjFiMDVjZmE1YzQyMGQxYjViOGRkZmQ3NDkxYTI5ZjE2OTk4OTE1NjRmNHw5MDc1NDk/overzicht,2026-09-12 08:38
37,,yes,no,59,,,,,,,"Ten Katestraat 87, 1053 CC Amsterdam",1053CC,725000,82,8841,3,2,3rd floor,2006,A,leasehold (erfpacht),2055-09-30,229,None,available,"Leasehold paid until 2055, 82 m² upstairs flat from 2006 on the 3rd floor: 2 bedrooms, no outdoor space, energy label A, VvE €229/month, €8.841/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NTIwNnwwNDM4MGNkNTg0OWQ4N2YyMjYxZGFjOGY1NTAxYzZhODA2OWQyNGJhN2VmZWE3NTNjNTBkOTRiOTdmOWE0ZGVkNDdhMWI5ZGZiYmQ2NWVmODhiODJiYjVmY2ZkZWQwOGRlMGQzMTQ0ZTE4NGU0MTA4MTVhZTA3ZDU1NDE4NzdkOXw5MDc1NDk/overzicht,2026-09-11 18:14
38,,yes,no,58,,,,,,,"Eerste Van Swindenstraat 383 A, 1093 GB Amsterdam",1093GB,795000,82,9695,3,2,1st floor,1881,B,freehold (eigen grond),,,None,available,"Freehold 82 m² upstairs flat from 1881 on the 1st floor: 2 bedrooms, ~21 m² roof terrace, energy label B, €9.695/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5ODU3NHwyYzBhYTIxMzA5ZWZhNmQ2MGJhNjQzNzU0Yjk0NTllMDE5NzJhZmRmZTJjMzgwODc2MDViMzZkMTFjOGRjZTZkZjFiNmNhZjFjY2U3NzA5MzQ0NDg3NGVmOGRmMGQyOGY1ODJiNzBkNGZhZTA5ZGU2YzQyZDBmZmFhN2YxNjZhMXw5MDc1NDk/overzicht,2026-09-11 21:02
39,,no,yes,58,requested,,,,,,"Weteringschans 80 4, 1017 XR Amsterdam",1017XR,900000,104,8654,3,2,4th floor,,A,freehold (eigen grond),,269,None,available,"Freehold 104 m² split-level rooftop apartment: 1 bedroom, 27 m² roof terrace with 360° views, energy label A, VvE €269/month, €8.679/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NzY3NHwzZmY4MjVlMjcwMDc1ZDk3NDY5YTVlMTdkMzc0MjA2ODE1ODRkZWUwNWJlZDk2MzU4NWZjNDMxNzNiNTYxZGI3ZGNmODk0MDA5NDU3MTNmMTU5ZTQwZjEwYmVkOTQzOGM3NTU5Nzg3MDJjYzFmMWQwMTViNzQ4Y2UwZjA2MjVjMXw5MDc1NDk/overzicht,2026-09-12 06:04
40,,no,yes,57,requested,,,,,,"Martin Vlaarkade 65, 1013 CS Amsterdam",1013CS,595000,75,7933,3,2,3rd floor,1988,C,leasehold (erfpacht),2038-11-16,,Balcony 4 m²,available,"Leasehold paid until 2038, 75 m² upstairs flat from 1988 on the 3rd floor: 2 bedrooms, balcony 4 m², energy label C, €7.933/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NDU0Nnw1YjVkNzljY2I1N2JjNTQ3NjBlY2VlOGE5NTIwMDY0ZDY2NjU4NTI0NGQ3YjM4YzRkYzhiODMwYWU2Nzc2ODI5YmI1MmZhNzliYTc4ZGMyYmNlNjAxZGRmOTVlZTdmZGQ2MzRjZmRjYzc3MWE2MzQzZGIzYTExOWVkY2NiNzEyOHw5MDc1NDk/overzicht,2026-09-12 06:05
41,,,yes,55,,,,,,,"Johannes Verhulststraat 142 3, 1071 NN Amsterdam",1071NN,795000,71,11197,3,2,4th floor,1902,A,freehold (eigen grond),,217,None,sold subject to conditions,"Freehold 71 m² upstairs flat from 1902 on the 4th floor: 2 bedrooms, no outdoor space, energy label A, VvE €217/month, €11.197/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg2MTQ1MnxlZDE0NjFlMDVmZjc5NzZiNTFjZjllMDk0MDk4YmQ1NTkyNzc0N2Y1YjA3NzE0ZTUxNDFhYjE4ODc2YmYyNWJjZGM0ODdkMDEwYWI5ODEwNGU1OWRmNzYyMGVmYjRlYTcwOTYxNWJkOGE1YjUyYjU2N2I3ZTQ5OWU0OTUzM2Q2OXw5MDc1NDk/overzicht,2026-09-06 19:59
42,,yes,no,54,,,,,,,"Van Hilligaertstraat 16 D, 1072 JZ Amsterdam",1072JZ,850000,118,7203,4,3,3rd floor,1922,C,leasehold (erfpacht),2054-10-01,,Balcony 4 m²,available,"Leasehold paid until 2054, 118 m² upstairs flat from 1922 on the 3rd floor: 3 bedrooms, balcony 4 m², energy label C, €7.203/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3OTYwNnwzMTkyNDg1MmZmZmNmYjU4ZWI5NWI4NTM4OTdkMGUyNTEwZTg4OGZiNGRhY2IzOGU1NjI2NzU4ODc3ZTMxYTRkYjViZjdmY2Q2MTc2OWQ3NmIxNDUxZjFmYmQyYzBjYTRmMjViM2NlZTkxOGFjNTQzZjNjMzU2Mzc2NDE4OTA3NHw5MDc1NDk/overzicht,2026-09-11 06:03
